220 open entries; 50 arsenal contexts
[75/220] id=310 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[76/220] id=314 -> BRACKET (vio=0, hold=0, br=10, pf=40, un=0)
[77/220] id=316 -> BRACKET (vio=0, hold=0, br=1, pf=49, un=0)
[78/220] id=317 -> BRACKET (vio=0, hold=0, br=12, pf=38, un=0)
[79/220] id=318 -> BRACKET (vio=0, hold=0, br=3, pf=47, un=0)
[80/220] id=319 -> BRACKET (vio=0, hold=0, br=7, pf=43, un=0)
[81/220] id=320 -> BRACKET (vio=0, hold=0, br=1, pf=49, un=0)
[82/220] id=321 -> BRACKET (vio=0, hold=0, br=4, pf=46, un=0)
[83/220] id=322 -> BRACKET (vio=0, hold=0, br=16, pf=34, un=0)
[84/220] id=323 -> BRACKET (vio=0, hold=0, br=5, pf=45, un=0)
[85/220] id=324 -> BRACKET (vio=0, hold=0, br=32, pf=68, un=0)
[86/220] id=325 -> BRACKET (vio=0, hold=0, br=16, pf=34, un=0)
[87/220] id=326 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[88/220] id=328 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[89/220] id=340 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[90/220] id=341 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[91/220] id=342 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[92/220] id=343 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[93/220] id=344 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[94/220] id=348 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[95/220] id=351 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[96/220] id=352 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[97/220] id=353 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
[98/220] id=354 -> PREMISE_FALSE_EVERYWHERE (vio=0, hold=0, br=0, pf=50, un=0)
